Kabupaten/Kota,Tahun,Pengeluaran Konsumsi Rumah Tangga,Pengeluaran Konsumsi LNPRT,Pengeluaran Konsumsi Pemerintah,Pembentukan Modal Tetap Bruto,Perubahan Inventori,Net Ekspor,PDRB
Simeulue,2019,1583299.05,95178.33,848065.06,976234.86,5508.92,-1296400.64,2211885.58
Aceh Singkil,2019,1659150.11,46800.16,889060.69,783541.57,30642.55,-1013783.24,2395411.85
Aceh Selatan,2019,3770239.34,114959.07,1395207.9,1965693.9,42754.97,-1809429.52,5479425.66
Aceh Tenggara,2019,3787303.2,210842.96,1302535.79,1369322.79,226988.74,-1990076.09,4906917.38
Aceh Timur,2019,7919415.25,317838.81,1550051.91,3746446.62,147401.58,-3400354.67,10280799.51
Aceh Tengah,2019,3469768.6,129532.61,1310483.16,3178686.32,110273.45,-726298.24,7472445.9
Aceh Barat,2019,3909837.42,200138.03,1315800.47,3822095.04,58748.77,-1342265.13,7964354.62
Aceh Besar,2019,9605114.91,62816.22,2255576.68,4769665.52,185682.17,-3637580.64,13241274.86
Pidie,2019,7440240.64,276269.8,2235450.92,3140135.47,1738.71,-2544610.17,10549225.37
Bireuen,2019,8914805.97,264044.96,1990891.5,3141544.46,216262.4,-1640701.53,12886847.77
Aceh Utara,2019,11190657.49,418282.45,2848282.97,6236208.24,218103.12,-1236581.89,19674952.38
Aceh Barat Daya,2019,2280393.32,62657.6,880845.44,2344512.71,16876.37,-1730966.86,3854318.59
Gayo Lues,2019,1420379.56,92999.12,894152.09,1129733.92,50226.13,-978757.11,2608733.7
Aceh Tamiang,2019,4810216.01,139715.65,1202987.7,2578031.59,1030.02,-1346639.81,7385341.17
Nagan Raya,2019,3356510.22,173190.41,986377.93,2673300.99,7767.68,214544.39,7411691.61
Aceh Jaya,2019,1360452.96,57858.05,893600.46,1466927.52,410.0,-1204106.67,2575142.32
Bener Meriah,2019,2350700.15,99375.85,888750.15,2163729.08,4175.69,-1083615.98,4423114.94
Pidie Jaya,2019,2644711.11,154565.78,868623.41,1341321.64,-4229.34,-1555126.23,3449866.38
Kota Banda Aceh,2019,11222272.54,335462.18,8014469.52,4560477.49,190051.03,-5753657.58,18569075.19
Kota Sabang,2019,811080.38,92893.85,1013231.93,1048637.91,88225.32,-1522482.29,1531587.09
Kota Langsa,2019,3618784.16,134447.94,1115209.62,1942023.71,13231.01,-1587472.81,5236223.62
Kota Lhokseumawe,2019,4763944.95,122642.22,1545096.85,4210953.42,108565.08,-1852822.83,8898379.69
Kota Subulussalam,2019,1270135.41,54918.71,598591.91,982500.32,-13911.21,-1165311.02,1726924.11
Nias,2019,3574681.42,144998.39,829637.11,977620.43,10605.38,-1712687.82,3824854.92
Mandailing Natal,2019,8771993.48,217261.25,2225944.17,3104810.2,375856.09,-1151129.45,13544735.74
Tapanuli Selatan,2019,6512559.99,104328.16,1517212.07,5265312.62,133799.17,399123.08,13932335.09
Tapanuli Tengah,2019,6775018.31,217105.94,1021716.78,1857410.79,87715.6,-2189.86,9956777.57
Tapanuli Utara,2019,5127194.07,395755.32,1311980.12,3527207.9,186618.0,-2659705.85,7889049.56
Toba Samosir,2019,4262738.33,128851.8,1146643.69,1624750.09,95943.84,416459.83,7675387.58
