Kabupaten/Kota;2019;2020;2021;2019;2020;2021;2019;2020;2021;2019;2020;2021;2019;2020;2021;2019;2020;2021;2019;2020;2021
Simeulue;1583299.05;1620011.53;1665117.18;95178.33;94494.53;93795.59;848065.06;769769.81;831371.31;976234.86;1041167.37;1067199.08;5508.92;5692.95;6033.71;-1296400.64;-1256774.25;-1203225.47;2211885.58;2274361.94;2460291.41
Aceh Singkil;1659150.11;1674417.02;1723834.5;46800.16;47551;46146.18;889060.69;826561.05;900814.29;783541.57;821820.43;849377.14;30642.55;31064.09;29917.01;-1013783.24;-978802.1;-835689.65;2395411.85;2422611.49;2714399.47
Aceh Selatan;3770239.34;3769352.99;3893911.26;114959.07;106604.46;106851.31;1395207.9;1238782.56;1340152.49;1965693.9;2004090.28;2092634.13;42754.97;15108.45;20189.17;-1809429.52;-1603184.15;-1483884.96;5479425.66;5530754.59;5969853.39
Aceh Tenggara;3787303.2;3855130.07;3946207.44;210842.96;204732.79;192804.74;1302535.79;1293500.48;1381974.9;1369322.79;1478286.62;1531034.05;226988.74;145612.17;150512.15;-1990076.09;-1918733.34;-1780943.83;4906917.38;5058528.79;5421589.45
Aceh Timur;7919415.25;8155930.46;8508549.44;317838.81;316863.95;298598.92;1550051.91;1469170.4;1597798.68;3746446.62;3929594.53;4119787.15;147401.58;188613.87;182118.38;-3400354.67;-3454388.58;-3009022.42;10280799.51;10605784.63;11697830.15
Aceh Tengah;3469768.6;3428199.72;3508743.36;129532.61;126222.25;127462.18;1310483.16;1210434.74;1277356.52;3178686.32;3194338.96;3326189.8;110273.45;35071;44356.09;-726298.24;-606896.77;-252160.35;7472445.9;7387369.9;8031947.6
Aceh Barat;3909837.42;4001567.39;4160381.91;200138.03;205085.82;208005.73;1315800.47;1266981.74;1370243.86;3822095.04;3994965.35;4107969.55;58748.77;91156.52;81432.99;-1342265.13;-1450523.56;55073.82;7964354.62;8109233.27;9983107.86
Aceh Besar;9605114.91;9648196.53;9723013.59;62816.22;62659.18;64718.35;2255576.68;2186238.76;2445769.32;4769665.52;4982532.72;5062004.63;185682.17;163921.09;170630.45;-3637580.64;-3714082.99;-3415654.19;13241274.86;13329465.29;14050482.15
Pidie;7440240.64;7501604.6;7802131.13;276269.8;281264.74;282780.55;2235450.92;2113226.53;2310559.4;3140135.47;3353379.67;3425936.07;1738.71;-7261.29;-2987.42;-2544610.17;-2483408.56;-2477026.46;10549225.37;10758805.68;11341393.27
Bireuen;8914805.97;9045836.08;9220853.26;264044.96;267825.67;262981.54;1990891.5;1890588.81;2050342.52;3141544.46;3285721.69;3372545.95;216262.4;127077.09;55643.32;-1640701.53;-1532681.29;-882832.05;12886847.77;13084368.05;14079534.53
Aceh Utara;11190657.49;11252343.3;11690242.04;418282.45;429832.91;434310;2848282.97;2650743.58;2776086.76;6236208.24;6588649.59;6937452.32;218103.12;94509.26;138747.31;-1236581.89;-1313431.89;1266070.67;19674952.38;19702646.76;23242909.1
Aceh Barat Daya;2280393.32;2310564.68;2355173.48;62657.6;61388.66;62037.61;880845.44;807325.99;878336.92;2344512.71;2489423.98;2549778.2;16876.37;13819.63;18758.27;-1730966.86;-1765103.09;-1726237.28;3854318.59;3917419.85;4137847.2
Gayo Lues;1420379.56;1392549.86;1436632.94;92999.12;80469.64;81675.7;894152.09;880178.4;945146.26;1129733.92;1155362.88;1178273.07;50226.13;60549.19;65784.91;-978757.11;-875844.22;-846704.09;2608733.7;2693265.75;2860808.79
Aceh Tamiang;4810216.01;4897312.47;5012569.4;139715.65;136823.15;134052.17;1202987.7;1148786.39;1228473.54;2578031.59;2641804.41;2728514.8;1030.02;1084.61;1099.4;-1346639.81;-1313116.86;-231328.48;7385341.17;7512694.16;8873380.82
Nagan Raya;3356510.22;3419584.61;3584242.37;173190.41;177190.41;174004.51;986377.93;910377.93;1014881.3;2673300.99;2874300.99;3153226.26;7767.68;2567.68;6818;214544.39;272544.39;1152732.01;7411691.61;7656566.01;9085904.46
Aceh Jaya;1360452.96;1414826.1;1470872.33;57858.05;57811.48;58323.91;893600.46;898839.95;980018.74;1466927.52;1527730.01;1582200.5;410;-44.93;-260.77;-1204106.67;-1273428.36;-1232062.34;2575142.32;2625734.25;2859092.37
Bener Meriah;2350700.15;2385222.68;2457622.69;99375.85;101475.85;102975.85;888750.15;865016.2;918016.2;2163729.08;2227984.78;2299984.78;4175.69;4225.69;4125.69;-1083615.98;-1056109.11;-776088.03;4423114.94;4527816.08;5006637.18
Pidie Jaya;2644711.11;2701822.6;2749123.73;154565.78;159923.55;154958.74;868623.41;824380.09;935563.64;1341321.64;1375890.35;1444899.02;-4229.34;-6192.32;49755.53;-1555126.23;-1555458.04;-1654149.94;3449866.38;3500366.23;3680150.72
Kota Banda Aceh;11222272.54;11170963.03;11629664.15;335462.18;324470.14;317145.76;8014469.52;7897883;8317054.17;4560477.49;4664913.28;4829552.44;190051.03;143853.02;181505.95;-5753657.58;-5700454.34;-5330962.3;18569075.19;18501628.13;19943960.17
Kota Sabang;811080.38;825842.18;842488.38;92893.85;93811.81;94380.86;1013231.93;933412.05;969103.27;1048637.91;1057340.67;1070089.22;88225.32;37482.68;38605.59;-1522482.29;-1416482.29;-1413352.11;1531587.09;1531407.09;1601315.22
Kota Langsa;3618784.16;3647527.93;3767704.99;134447.94;136373.59;137582.98;1115209.62;1018725.26;1113998.1;1942023.71;2047957.12;2129456.11;13231.01;20271.04;39032.02;-1587472.81;-1596833.48;-1422280.41;5236223.62;5274021.46;5765493.79
Kota Lhokseumawe;4763944.95;4769250.65;4894818.51;122642.22;125433.47;122997.92;1545096.85;1476648.71;1613578.62;4210953.42;4360765.41;4417527.23;108565.08;84864.38;88652.72;-1852822.83;-1949696.13;-1706189.12;8898379.69;8867266.49;9431385.89
Kota Subulussalam;1270135.41;1310238.88;1346392.96;54918.71;56026.16;55298.47;598591.91;580477.71;622367.57;982500.32;1054990.63;1102650.14;-13911.21;-29818.6;-7485.27;-1165311.02;-1168236.36;-1008274.73;1726924.11;1803678.42;2110949.14
Nias;3574681.42;3741229.42;3846358.01;144998.39;154617.82;163095.86;829637.11;857112.11;877482.95;977620.43;999907.43;1049721.72;10605.38;12615.38;13518.47;-1712687.82;-1724564.82;-1728314.07;3824854.92;4040917.36;4221862.94
Mandailing Natal;8771993.48;8990282.87;9472808;217261.25;216923.49;218371.11;2225944.17;2161041.22;2266794.79;3104810.2;3066028.09;3234105.87;375856.09;462168.55;489112.53;-1151129.45;-1053443.88;-800770.34;13544735.74;13843000.34;14880421.96
