Kabupaten/Kota;2022;2023;2022;2023;2022;2023;2022;2023;2022;2023;2022;2023;2022;2023
Simeulue;1771882.88;1926918.07;100995.31;111957.98;832009.1;854814.97;1092343.9;1214837.88;6197.77;6592;-1115400.61;-1180019.61;2688028.35;2935101.29
Aceh Singkil;1837939.35;1925889.68;50875.44;54233.53;917253.61;933564.24;898634.96;975556.67;35602.56;35724.98;-735681.36;-722459.95;3004624.56;3202509.15
Aceh Selatan;4135803.3;4252534.02;117098.15;126111.42;1301141.82;1318035.5;2149461.38;2352515.86;25269.89;67572.66;-1282256.77;-1082312.26;6446517.77;7034457.2
Aceh Tenggara;4168534.33;4432180.52;205550.87;233480.74;1440371.46;1390927.91;1594665.55;1700802.48;162028.39;151699.11;-1742458.33;-1651144.79;5828692.27;6257945.97
Aceh Timur;9037578.94;9599718.86;328965.33;368339.1;1543873.27;1571538.32;4276605.48;4339766.63;250955.59;133849.81;-2336922.77;-2210118.05;13101055.84;13803094.67
Aceh Tengah;3721566.7;4035368.95;138418.57;153168.11;1294573.87;1329765.73;3391856.38;3800743.09;73095;114302.12;253896.88;409156.2;8873407.4;9842504.2
Aceh Barat;4518389.31;4919560.39;236536.51;267492.85;1380158.42;1498723.06;4260455.47;4706453.44;193233;247608;2141386.11;1932084.99;12730158.82;13571922.75
Aceh Besar;10283764.34;10956409.49;69932.91;75332.91;2506703.58;2491103.68;5316038.98;5822263.55;199627.49;194934.68;-2919203.5;-2562067.53;15456863.79;16977976.78
Pidie;8315097.51;8926005.87;305399.56;345459.05;2407935.58;2378162.03;3701562.96;3826436.2;588.46;1436.33;-2318211.01;-1987850.1;12412373.06;13489649.38
Bireuen;9806630.47;10301825.8;283252.47;308232.25;2064186.27;2079079.06;3476180.48;3714864.12;294558.95;209160.14;-455247.46;415140.09;15469561.17;17028301.46
Aceh Utara;12512766.95;13363164.81;461876.83;490171.67;2877783.38;2962471.63;7020404.63;6892838.46;133771.17;-463553.74;5303852.43;5227059.41;28310455.4;28472152.25
Aceh Barat Daya;2433178.57;2603044.61;69333.87;77000.04;848430.79;864424.24;2593921.61;2711915.92;27199.98;26333.21;-1425709.13;-1317843.95;4546355.7;4964874.05
Gayo Lues;1538506.33;1665429.95;86908.29;95568.37;943240.21;971345.11;1221609.68;1273355.61;70369.09;64702.48;-784130.14;-734246.03;3076503.46;3336155.5
Aceh Tamiang;5343217.09;5681260.02;136863.65;145613;1269968.99;1240713;2797665.13;2940980.09;1122.65;1157.33;884413.97;719026.01;10433251.5;10728749.45
Nagan Raya;3916636.25;4427366.9;192448.99;219695.35;982405.1;1099746.83;3210040.84;3562460.83;16254.77;75103.69;2317470.87;2565360.14;10635256.81;11949733.74
Aceh Jaya;1562116.37;1694955.62;64541.04;71370.22;958458.33;983394.62;1615964.13;1679863.8;34044.04;36618.67;-1113592.73;-1092415.62;3121531.18;3373787.32
Bener Meriah;2584472.69;2737646.9;109475.85;117731.19;947816.2;977980;2406984.78;2654519.36;4325.68;25305;-576902.2;-497358.44;5476173;6015824.01
Pidie Jaya;2923383.37;3061589.96;169506.37;189170.51;939907.31;939726.05;1449224.01;1486790.29;-14314.3;27369.86;-1487527.95;-1355558.29;3980178.81;4349088.38
Kota Banda Aceh;12332050.47;13250302.63;350327.37;390458.76;8005958.49;8387180.99;5042582.41;5593291.42;187667.45;201740.92;-4358074.9;-4045509.92;21560511.29;23777464.8
Kota Sabang;886167.54;933703.08;106219.15;112811.06;945381.34;967479.05;1075121.96;1106511.74;84426.48;52307.48;-1454538.47;-1425882.83;1642777.99;1746929.58
Kota Langsa;4014067.81;4254196.96;150280.07;160905.81;1084745.08;1152927.9;2197130.26;2385462.2;139148.22;168673.52;-1322086.72;-1268781.08;6263284.71;6853385.32
