Job Title,Company Name,Location,URL,Company Location,company size,Industry_stats,Job Qualifications,Job Skills,Job Skills,Job Skills,Profile,Skills,Type,Work Hours,,
Python Machine Learning Developer,Demandlane,13 applicants,https://www.linkedin.com/jobs/search/?currentJobId=4014358169&distance=25&geoId=102478259&keywords=Data%20Scientist&origin=JOB_SEARCH_PAGE_KEYWORD_HISTORY&refresh=true,Indonesia,11-50 employees,Legal Services  11-50 employees   25 on LinkedIn,"AWS Lambda, Amazon Redshift, Amazon Web Services (AWS), Data Science, Machine Learning, Pandas (Software), PyTorch, Python (Programming Language), Tableau, and TensorFlow",1 school alum works here,5+ years of work experience with Machine Learning,"Skills: Pandas (Software), TensorFlow, +8 more",Demandlane,5+ years of work experience with Machine Learning,Remote,Full-time,,
Python Machine Learning Developer,Demandlane,13 applicants,https://www.linkedin.com/jobs/search/?currentJobId=4014358169&distance=25&geoId=102478259&keywords=Data%20Scientist&origin=JOB_SEARCH_PAGE_KEYWORD_HISTORY&refresh=true,Indonesia,11-50 employees,Legal Services  11-50 employees   25 on LinkedIn,"AWS Lambda, Amazon Redshift, Amazon Web Services (AWS), Data Science, Machine Learning, Pandas (Software), PyTorch, Python (Programming Language), Tableau, and TensorFlow",1 school alum works here,5+ years of work experience with Machine Learning,"Skills: Pandas (Software), TensorFlow, +8 more",Demandlane,5+ years of work experience with Machine Learning,Remote,Full-time,,
Computer Aided Design Engineer (U.S.-Based Clients),Eterna Indonesia,13 applicants,https://www.linkedin.com/jobs/search/?currentJobId=3901312193&distance=25&geoId=102478259&keywords=Data%20Scientist&origin=JOB_SEARCH_PAGE_KEYWORD_HISTORY&refresh=true,Indonesia,51-200 employees,Outsourcing and Offshoring Consulting  51-200 employees   13 on LinkedIn,"3D Modeling, AutoCAD, Computer-Aided Design (CAD), Design Engineering, Revit, SketchUp, Solar PV Design, and Technical Drawing","Skills: SketchUp, AutoCAD, +6 more","3D Modeling, AutoCAD, Computer-Aided Design (CAD), Design Engineering, Revit, SketchUp, Solar PV Design, and Technical Drawing",Try Premium for IDR0,Eterna Indonesia,"3D Modeling, AutoCAD, Computer-Aided Design (CAD), Design Engineering, Revit, SketchUp, Solar PV Design, and Technical Drawing",Remote,Full-time,,
"Software Engineer Full-time (AI, Video and Audio Compositor)",Videfly,13 applicants,https://www.linkedin.com/jobs/search/?currentJobId=4016413337&distance=25&geoId=102478259&keywords=Data%20Scientist&origin=JOB_SEARCH_PAGE_KEYWORD_HISTORY&refresh=true,"Jakarta, Indonesia",2-10 employees,Software Development  2-10 employees   7 on LinkedIn,"Amazon Web Services (AWS), Back-End Web Development, C++, JavaScript, Next.js, Node.js, OpenGL, Python (Programming Language), Software Development, and TypeScript","Skills: TypeScript, OpenGL, +8 more",1+ years of work experience with JavaScript,Try Premium for IDR0,Videfly,1+ years of work experience with JavaScript,Remote,Full-time,,
"Artificial Intelligence Engineer, 2 Hour Learning (Remote) - $100,000/year USD",Crossover,13 applicants,https://www.linkedin.com/jobs/search/?currentJobId=4017080713&distance=25&geoId=102478259&keywords=Data%20Scientist&origin=JOB_SEARCH_PAGE_KEYWORD_HISTORY&refresh=true,"Surabaya, East Java, Indonesia","5,001-10,000 employees","IT Services and IT Consulting  5,001-10,000 employees   2,665 on LinkedIn","Angular, Artificial Intelligence (AI), Back-End Web Development, Django, Flask, Front-End Development, Spring Boot, Spring Framework, Svelte, Vue.js","Skills: Svelte, Flask, +8 more","Angular, Artificial Intelligence (AI), Back-End Web Development, Django, Flask, Front-End Development, Spring Boot, Spring Framework, Svelte, and Vue.js",Try Premium for IDR0,Crossover,"Angular, Artificial Intelligence (AI), Back-End Web Development, Django, Flask, Front-End Development, Spring Boot, Spring Framework, Svelte, and Vue.js",Remote  ,Full-time,,
Junior Platform Engineer,Shuffle Up,13 applicants,https://www.linkedin.com/jobs/search/?currentJobId=3980306195&distance=25&geoId=102478259&keywords=Data%20Scientist&origin=JOB_SEARCH_PAGE_KEYWORD_HISTORY&refresh=true,Indonesia,11-50 employees,Software Development  11-50 employees   17 on LinkedIn,"Amazon Web Services (AWS), Container Orchestration, Containerization, Continuous Integration and Continuous Delivery (CI/CD), DevOps, Grafana, Infrastructure as code (IaC), Kubernetes, Scripting, Skill Development, and Unconscious Bias Awareness Training","Skills: Continuous Integration and Continuous Delivery (CI/CD), Grafana, +9 more",Conversational in English,Try Premium for IDR0,Shuffle Up,Conversational in English,Remote,Full-time,, 
Search Engine Optimization Specialist,Flex AI,13 applicants,https://www.linkedin.com/jobs/search/?currentJobId=3954201304&distance=25&geoId=102478259&keywords=Data%20Scientist&origin=JOB_SEARCH_PAGE_KEYWORD_HISTORY&refresh=true,Indonesia,11-50 employees,"Technology, Information and Internet  11-50 employees   28 on LinkedIn","Campaigns, Job Skills, Keyword Research, Link Building, Off-Page SEO, Online Marketing, Search Engine Optimization (SEO), Search Engines, Strategic Thinking, and Web Analytics","Skills: Keyword Research, Online Marketing, +8 more",Professional in English,Try Premium for IDR0,Flex AI,Professional in English,Remote,Full-time,,
Senior UX Researcher,Flex AI,13 applicants,https://www.linkedin.com/jobs/search/?currentJobId=3958860012&distance=25&geoId=102478259&keywords=Data%20Scientist&origin=JOB_SEARCH_PAGE_KEYWORD_HISTORY&refresh=true,Indonesia,11-50 employees,"Technology, Information and Internet  11-50 employees   28 on LinkedIn","Business Insights, Communication, Human Computer Interaction, Presentation Skills, Presentations, Product Design, Qualitative & Quantitative Research Methodologies, Quantitative Research, UX Research, and User Experience (UX)","Skills: Quantitative Research, Business Insights, +8 more",Professional in English,Try Premium for IDR0,Flex AI,Professional in English,Remote,Full-time,,
Sales for AI Solutions,Teleakses Solusindo,13 applicants,https://www.linkedin.com/jobs/search/?currentJobId=4013806703&distance=25&geoId=102478259&keywords=Data%20Scientist&origin=JOB_SEARCH_PAGE_KEYWORD_HISTORY&refresh=true,Indonesia,11-50 employees,Information Technology & Services  11-50 employees   28 on LinkedIn,"Account Management, Communication, Customer Satisfaction, Customer Service, Direct Sales, Negotiation, Sales, Sales Management, Sales Operations, and Sales Processes",1 school alum works here,Working in a remote setting,"Skills: Direct Sales, Sales Management, +8 more",Teleakses Solusindo,Working in a remote setting,Remote,Contract,,
Growth Marketing Manager,Flex AI,13 applicants,https://www.linkedin.com/jobs/search/?currentJobId=3959971113&distance=25&geoId=102478259&keywords=Data%20Scientist&origin=JOB_SEARCH_PAGE_KEYWORD_HISTORY&refresh=true,Indonesia,11-50 employees,"Technology, Information and Internet  11-50 employees   28 on LinkedIn","Analytical Skills, Creative Campaign Development, Digital Marketing, Growth Marketing, Interpersonal Skills, Marketing Strategy, and Social Media Marketing","Skills: Analytical Skills, Growth Marketing, +5 more",Professional in English,Try Premium for IDR0,Flex AI,Professional in English,Remote,Full-time,,
